Site,site_id,Prmnn_I,GNIS_ID,GNIS_Nm,ReachCd,FType,FCode,Lat,Long
130,nhd_1101490,1101490,652939,Sweeney Lake,7.01E+12,390,39004,44.99316937,-93.33847984
131,nhd_1101492,1101492,649160,Parkers Lake,7.01E+12,390,39004,44.99339135,-93.47190337
132,nhd_1101496,1101496,642811,Dickeys Lake,7.01E+12,390,39004,44.99450412,-93.57820618
133,nhd_1101500,1101500,653725,Wakefield Lake,7.01E+12,390,39004,44.99484164,-93.03573914
134,nhd_1101504,1101504,649345,Lake Phalen,7.01E+12,390,39004,44.98762789,-93.0531108
135,nhd_1101506,1101506,650325,Round Lake,7.01E+12,390,39004,44.99408464,-93.06272976
136,nhd_1101508,1101508,653417,Twin Lake,7.01E+12,390,39004,44.99185571,-93.33606813
137,nhd_1101512,1101512,647316,Lydiard Lake,7.01E+12,390,39004,44.99164277,-93.53346835
138,nhd_1101514,1101514,647038,Long Lake,7.01E+12,390,39004,44.9889298,-93.55790113
139,nhd_1101526,1101526,644170,Gleason Lake,7.01E+12,390,39004,44.98122034,-93.4927882
140,nhd_1101544,1101544,654285,Wirth Lake,7.01E+12,390,39004,44.98170518,-93.32349621
141,nhd_1101548,1101548,641426,Lake Como,7.01E+12,390,39004,44.97948162,-93.14039613
142,nhd_1101570,1101570,,,7.01E+12,390,39004,44.96955685,-93.61618184
143,nhd_1101572,1101572,639834,Beaver Lake,7.01E+12,390,39004,44.97299259,-93.00508544
144,nhd_1101584,1101584,,,7.01E+12,390,39004,44.96974144,-93.38893176
145,nhd_1101588,1101588,,,7.01E+12,390,39004,44.96827545,-93.42639228
146,nhd_1101590,1101590,647254,Lower Lake,7.01E+12,390,39004,44.93976425,-93.55598416
147,nhd_1101616,1101616,641010,Cedar Lake,7.01E+12,390,39004,44.95982914,-93.32136789
148,nhd_1101626,1101626,653027,Tanager Lake,7.01E+12,390,39004,44.96127177,-93.56209251
149,nhd_1101634,1101634,643804,Forest Lake,7.01E+12,390,39004,44.95706114,-93.63358325
150,nhd_1101636,1101636,645534,Lake of the Isles,7.01E+12,390,39004,44.95530916,-93.30680625
151,nhd_1101662,1101662,647037,Long Lake,7.01E+12,390,39004,44.94959448,-93.70819772
152,nhd_1101666,1101666,644631,Hannan Lake,7.01E+12,390,39004,44.95297378,-93.39546216
153,nhd_1101684,1101684,640736,Lake Calhoun,7.01E+12,390,39004,44.94180224,-93.31175871
154,nhd_1101688,1101688,646629,Libbs Lake,7.01E+12,390,39004,44.94621498,-93.48803901
155,nhd_1101690,1101690,642995,Dutch Lake,7.01E+12,390,39004,44.94393431,-93.68093652
156,nhd_1101704,1101704,,,7.01E+12,390,39004,44.94257112,-93.70445871
157,nhd_1101712,1101712,649693,Powderhorn Lake,7.01E+12,390,39004,44.94166446,-93.25691512
158,nhd_1101722,1101722,646478,Langdon Lake,7.01E+12,390,39004,44.933078,-93.67518393
159,nhd_1101754,1101754,644682,Lake Harriet,7.01E+12,390,39004,44.92173331,-93.30491681
160,nhd_1101756,1101756,649406,Pigs Eye Lake,7.01E+12,390,39004,44.91403153,-93.02750398
161,nhd_1101778,1101778,644926,Lake Hiawatha,7.01E+12,390,39004,44.92074183,-93.23600815
162,nhd_1101790,1101790,649376,Pickerel Lake,7.01E+12,390,39004,44.91634215,-93.12046224
163,nhd_1101812,1101812,648572,Lake Nokomis,7.01E+12,390,39004,44.90846353,-93.2420949
164,nhd_1101844,1101844,,,7.01E+12,390,39004,44.90206299,-93.01624852
165,nhd_1101846,1101846,642480,Crosby Lake,7.01E+12,390,39004,44.90434904,-93.14973133
166,nhd_1101864,1101864,641199,Christmas Lake,7.01E+12,390,39004,44.89698619,-93.54331944
167,nhd_1101868,1101868,642799,Diamond Lake,7.01E+12,390,39004,44.90023637,-93.2692859
168,nhd_1101882,1101882,644018,Galpin Lake,7.01E+12,390,39004,44.89662953,-93.56473256
169,nhd_1101890,1101890,648222,Mud Lake,7.01E+12,390,39004,44.89431661,-93.74229481
170,nhd_1101920,1101920,,,7.01E+12,390,39004,44.89292856,-93.24993225
171,nhd_1101926,1101926,652661,Stone Lake,7.01E+12,390,39004,44.88873758,-93.67896574
172,nhd_1101928,1101928,653674,Lake Virginia,7.01E+12,390,39004,44.88586432,-93.63297685
173,nhd_1101938,1101938,654506,Lake Zumbra,7.01E+12,390,39004,44.88400404,-93.66507443
174,nhd_1101942,1101942,647957,Lake Minnewashta,7.01E+12,390,39004,44.8790054,-93.60890427
175,nhd_1101980,1101980,641507,Lake Cornelia,7.01E+12,390,39004,44.88309732,-93.33905532
176,nhd_1102008,1102008,651793,Schutz Lake,7.01E+12,390,39004,44.87604357,-93.64666396
177,nhd_1102032,1102032,,,7.01E+12,390,39004,44.87685049,-93.13557828
178,nhd_1102046,1102046,650629,Lake Saint Joe,7.01E+12,390,39004,44.87458441,-93.62295641
179,nhd_1102048,1102048,,,7.01E+12,390,39004,44.86997678,-93.71201942
180,nhd_1102056,1102056,653018,Tamarack Lake,7.01E+12,390,39004,44.8733588,-93.6352319
181,nhd_1102058,1102058,652819,Sunfish Lake,7.01E+12,390,39004,44.87521891,-93.097302
182,nhd_1102080,1102080,650224,Rogers Lake,7.01E+12,390,39004,44.87106104,-93.13903752
183,nhd_1102086,1102086,,,7.01E+12,390,39004,44.86786432,-93.69415794
184,nhd_1102088,1102088,652639,Stieger Lake,7.01E+12,390,39004,44.86681118,-93.65944724
185,nhd_1102094,1102094,639503,Lake Auburn,7.01E+12,390,39004,44.86520156,-93.68093847
186,nhd_1102194,1102194,,,7.01E+12,390,39004,44.85574167,-93.66695391
187,nhd_1102202,1102202,,,7.01E+12,390,39004,44.85522215,-93.67299917
188,nhd_1102228,1102228,640895,Carl Krey Lake,7.01E+12,390,39004,44.85146839,-93.68888885
189,nhd_1102236,1102236,,,7.01E+12,390,39004,44.85361256,-93.10696868
190,nhd_1102244,1102244,653364,Turbid Lake,7.01E+12,390,39004,44.84973565,-93.71722427
191,nhd_1102284,1102284,659769,Wassermann Lake,7.01E+12,390,39004,44.84133938,-93.67469599
192,nhd_1102358,1102358,,,7.01E+12,390,39004,44.83854966,-93.12684224
193,nhd_1102366,1102366,649393,Piersons Lake,7.01E+12,390,39004,44.83256546,-93.69821351
194,nhd_1102410,1102410,647554,Marsh Lake,7.01E+12,390,39004,44.82907663,-93.68042889
195,nhd_1102576,1102576,650102,River Lake,7.01E+12,390,39004,44.80568462,-93.01940461
196,nhd_1103970,1103970,649169,Parley Lake,7.01E+12,390,39004,44.88226848,-93.7313198
197,nhd_11928930,11928930,1614743,Thirteenmile Lake,4.02E+12,390,39004,46.99342532,-88.74599682
198,nhd_11928976,11928976,634195,Otter Lake,4.02E+12,390,39004,46.9119596,-88.57424314
199,nhd_11929034,11929034,1619855,Emily Lake,4.02E+12,390,39004,46.85897014,-88.85507979
200,nhd_11929040,11929040,1621516,Sandy Lake,4.02E+12,390,39004,46.85111152,-88.87071557
