Event,Event_Original,County,State,Waterbody.Name,Station.Name,WBIC,Site.Seq.No,Swims.Station.Id,Fishkill.Inv.Seq.No,Investigation.Start.Date,Season,Season1,Year,Stream.Miles.or.Lake.Acres.Affected,Cause.Category,Cause.Type,Mortality.Code,Confidence.Of.Cause.Code,Cause.Group,Cause.Detail,Investigation.Start.Month,Min.Kill.Size,Max.Kill.Size,Sunnies,Bluegill,Crappie,Bass,Bullhead,Suckerfish,Trout,Gizzard.Shad,Round.Goby,Cisco,Pike,Snail,Muskies,Walleye,Carp,Freshwater.Drum,Perch,Catfish,Sculpin,Stickleback,Minnow,Bigmouth.Buffalo,Pumpkinseed,Drum,Darter,Dace,Chub,Crayfish,Shorthead.Redhorse,Frogs,Sunfish,Golden.Shiner,Bowfin,Dogfish,Sturgeon,Fish.Species
77,77,COLUMBIA,WI,LONG LAKE,LONG LAKE_GENERAL LAKE STATION,1000700,111457,10014613,689,7-Apr-08,Summer,Winter,2008,69,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
82,82,CRAWFORD,WI,LAKE WINNESHIEK,"MISSISSIPPI RIVER, POOL 9",724600,22762280,10022865,830,14-Mar-08,Winter,Winter,2008,0.5,NATURAL,UNKNOWN ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,COMPOUND ENVIRONMENTAL STRESS,Mar,Large Number,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
86,86,DANE,WI,INDIAN LAKE,INDIAN LAKE_GENERAL LAKE STATION,1249000,110727,10001218,1020,21-Apr-08,Summer,Winter,2008,66,NATURAL,UNKNOWN ENVIRONMENTAL CONDITION,TOTAL,SUSPECTED,WINTERKILL,COMPOUND ENVIRONMENTAL STRESS,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
89,89,DANE,WI,LAKE MONONA,LAKE MONONA,804600,122563,10001208,665,21-Apr-08,Summer,Winter,2008,170,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,WINTERKILL,UNKNOWN,Apr,Large Number,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
92,92,DANE,WI,LAKE MONONA,LAKE MONONA,804600,122563,10001208,1680,2-Apr-10,Summer,Winter,2010,50,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,WINTERKILL,UNKNOWN,Apr,Large Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94,94,DANE,WI,LAKE MONONA,LAKE MONONA,804600,122563,10001208,3039,21-Mar-12,Winter,Winter,2012,2,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Mar,Few,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
95,95,DANE,WI,LAKE MONONA,LAKE MONONA - SQUAW BAY,804600,2342,133123,3611,4-Apr-14,Summer,Winter,2014,52,NOT INVESTIGATED,UNKNOWN,SELECTIVE,UNKNOWN,WINTERKILL,UNKNOWN,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
98,98,DANE,WI,MUD LAKE,MUD LAKE,1006500,126712,10015037,683,7-Apr-08,Summer,Winter,2008,54,NATURAL,ENVIRONMENTAL CONDITION,TOTAL,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
122,122,DOOR,WI,KANGAROO LAKE,KANGAROO LAKE_GENERAL LAKE STATION,98600,122496,10001285,214,28-Mar-07,Winter,Winter,2007,200,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,COMPOUND ENVIRONMENTAL STRESS,Mar,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
126,126,DOUGLAS,WI,LYDON LAKE,LYDON LAKE_GENERAL LAKE STATION,2767900,111633,10002275,3289,7-May-13,Summer,Winter,2013,15,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,May,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
129,129,DOUGLAS,WI,SAUNTRYS POCKET LAKE,SAUNTRYS POCKET LAKE_GENERAL LAKE STATION,2495600,112907,10002192,3294,20-Jun-13,Summer,Summer,2013,103,NATURAL,ENVIRONMENTAL CONDITION,TOTAL,KNOWN,WINTERKILL,DISSOLVED OXYGEN,Jun,Fair Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130,130,DUNN,WI,LAKE MENOMIN,LAKE MENOMIN_GENERAL LAKE STATION,2065900,122560,10002312,1508,6-Apr-09,Summer,Winter,2009,1405,UNKNOWN,UNKNOWN,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,Large Number,,UNKNOWN,1,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4
131,131,DUNN,WI,LAKE MENOMIN,LAKE MENOMIN_GENERAL LAKE STATION,2065900,122560,10002312,3511,2-Dec-13,Winter,Winter,2013,1405,NATURAL,UNKNOWN ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,UNKNOWN,Dec,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
133,133,FLORENCE,WI,LONG LAKE,LONG LAKE_GENERAL LAKE STATION,677400,111453,10002349,90,24-Feb-06,Winter,Winter,2006,340,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Feb,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
134,134,FLORENCE,WI,LONG LAKE,LONG LAKE_GENERAL LAKE STATION,677400,111453,10002349,82,24-Feb-06,Winter,Winter,2006,320,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,WINTERKILL,DISSOLVED OXYGEN,Feb,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
139,139,FOND DU LAC,WI,LAKE WINNEBAGO,LAKE WINNEBAGO - NEAR FDL,131100,104488,104488,296,29-May-07,Summer,Winter,2007,0.01,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,WINTERKILL,UNKNOWN,May,Excludable,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
170,170,KENOSHA,WI,MONTGOMERY LAKE,MONTGOMERY LAKE_GENERAL LAKE STATION,738200,122775,10003084,3631,11-Apr-14,Summer,Winter,2014,57,NATURAL,ENVIRONMENTAL CONDITION,TOTAL,KNOWN,WINTERKILL,DISSOLVED OXYGEN,Apr,Fair Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
174,174,KEWAUNEE,WI,KEWAUNEE RIVER,KEWAUNEE RIVER AT CLYDES HILL ROAD,90700,5181,313163,2639,21-May-12,Summer,Winter,2012,0.1,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,WINTERKILL,UNKNOWN,May,Excludable,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
178,178,LA CROSSE,WI,BLACK RIVER CHANNEL,"MISSISSIPPI RIVER, POOL 8, BLACK R. CHANNEL",727300,104459,104459,84,26-Mar-02,Winter,Winter,2002,0.1,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,WINTERKILL,THERMAL STRESS,Mar,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
184,184,LA CROSSE,WI,MISSISSIPPI RIVER,"MISSISSIPPI RIVER, POOL 8",721000,104458,104458,83,29-Mar-06,Winter,Winter,2006,20,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,WINTERKILL,THERMAL STRESS,Mar,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
186,186,LA CROSSE,WI,NESHONOC LAKE,NESHONOC LAKE_GENERAL LAKE STATION,1653500,122811,10003118,5,5-Oct-05,Winter,Winter,2005,742,UNKNOWN,ENVIRONMENTAL CONDITION,SELECTIVE,UNKNOWN,WINTERKILL,UNKNOWN,Oct,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
202,202,LANGLADE,WI,JOYCE LAKE,JOYCE LAKE_GENERAL LAKE STATION,189000,110836,10003262,1496,20-Apr-09,Summer,Winter,2009,9,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,Large Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
204,204,LANGLADE,WI,LOWER POST LAKE,LOWER POST LAKE_GENERAL LAKE STATION,397100,122671,10003156,1991,19-Apr-11,Summer,Winter,2011,0,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,Large Number,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
206,206,LANGLADE,WI,ROLLING STONE LAKE,ROLLING STONE LAKE_GENERAL LAKE STATION,389300,122960,10003155,1498,12-Apr-06,Summer,Winter,2006,672,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,Fair Number,,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
213,213,LANGLADE,WI,TWO ISLAND LAKE,TWO ISLAND LAKE_GENERAL LAKE STATION,1491000,113614,10003242,1503,20-Apr-08,Summer,Winter,2008,32,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,Large Number,,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
215,215,LANGLADE,WI,WOLF RIVER,WOLF RIVER,241300,104446,104446,598,25-May-07,Summer,Winter,2007,NA,NATURAL,INFECTIOUS AGENTS,SELECTIVE,SUSPECTED,WINTERKILL,COMPOUND ENVIRONMENTAL STRESS,May,Excludable,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
237,237,MANITOWOC,WI,TUMA LAKE,TUMA LAKE BASELINE MONITORING,87900,128271,10015088,1557,25-Jun-09,Summer,Summer,2009,15,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Jun,UNKNOWN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
243,243,MARATHON,WI,BIG EAU PLEINE RESERVOIR,BIG EAU PLEINE RESERVOIR_GENERAL LAKE STATION,1427400,122075,10003570,43,5-Apr-05,Summer,Winter,2005,2,ANTHROPOGENIC,ANTHROPOGENIC CONDITION,TOTAL,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
244,244,MARATHON,WI,BIG EAU PLEINE RESERVOIR,BIG EAU PLEINE RESERVOIR_GENERAL LAKE STATION,1427400,122075,10003570,3371,1-Mar-09,Winter,Winter,2009,6000,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,WINTERKILL,DISSOLVED OXYGEN,Mar,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
246,246,MARATHON,WI,BIG EAU PLEINE RESERVOIR,BIG EAU PLEINE RESERVOIR_GENERAL LAKE STATION,1427400,122075,10003570,3375,11-Feb-13,Winter,Winter,2013,2,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Feb,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
247,247,MARATHON,WI,BIG EAU PLEINE RESERVOIR,BIG EAU PLEINE RESERVOIR_GENERAL LAKE STATION,1427400,122075,10003570,3377,11-Mar-13,Winter,Winter,2013,6000,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,WINTERKILL,DISSOLVED OXYGEN,Mar,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
248,248,MARATHON,WI,BIG EAU PLEINE RIVER -UN BAY,BIG EAU PLEINE RIVER -UN BAY_GENERAL LAKE STATION,1428600,109134,10003617,1462,1-Mar-09,Winter,Winter,2009,7000,NATURAL,ENVIRONMENTAL CONDITION,TOTAL,KNOWN,WINTERKILL,DISSOLVED OXYGEN,Mar,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
250,250,MARATHON,WI,LAKE DU BAY,LAKE DUBAY_GENERAL LAKE STATION,1412200,122541,10005083,2560,26-Apr-11,Summer,Winter,2011,6000,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
253,253,MARATHON,WI,PIKE LAKE,PIKE LAKE_GENERAL LAKE STATION,1406300,122881,10003597,1109,25-Apr-08,Summer,Winter,2008,200,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,WINTERKILL,DISSOLVED OXYGEN,Apr,Fair number,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
255,255,MARINETTE,WI,HIGH FALLS RESERVOIR,HIGH FALLS RESERVOIR_GENERAL LAKE STATION,540600,122439,10003758,2539,19-Dec-11,Winter,Winter,2011,30,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,KNOWN,WINTERKILL,COMPOUND ENVIRONMENTAL STRESS,Dec,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
260,260,MARINETTE,WI,LOST LAKE,LOST LAKE_GENERAL LAKE STATION,587900,111525,10003648,549,17-Apr-08,Summer,Winter,2008,40,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,Apr,Large Number,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
261,261,MARINETTE,WI,MENOMINEE RIVER,MENOMINEE RIVER --  BEAR POINT ACCESS - STH 180,609000,21689,10019110,1726,27-May-10,Summer,Winter,2010,2,UNKNOWN,UNKNOWN,SELECTIVE,UNKNOWN,WINTERKILL,UNKNOWN,May,Excludable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
262,262,MARINETTE,WI,MONTANA LAKE,MONTANA LAKE_GENERAL LAKE STATION,518300,111894,10003724,3185,7-Dec-12,Winter,Winter,2012,1,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,COMPOUND ENVIRONMENTAL STRESS,Dec,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
265,265,MARINETTE,WI,YANKEE LAKE,YANKEE LAKE_GENERAL LAKE STATION,440100,121986,10003674,1111,13-May-08,Summer,Winter,2008,12,NATURAL,ENVIRONMENTAL CONDITION,SELECTIVE,SUSPECTED,WINTERKILL,DISSOLVED OXYGEN,May,Large Number,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
